LANGUAGE,"English"


STR_OFP_DN_ADD_G36_SOLDIER,"Soldier (G36)"
STR_OFP_DN_SABOTEUR_LASER,"Black Op (laser)"
STR_OFP_DN_OUT_BLACKOPW,"Black Op (Hand Gun)"
STR_OFP_DN_OUT_OFFICERW,"Officer (Hand Gun)"
STR_OFP_DN_OFFICERNIGHT,"Officer (night eq.)"
STR_OFP_DN_ADD_STEYR_SOLDIER,"Soldier (Steyr)"
STR_OFP_DN_ADD_XMS_SOLDIER,"Soldier (XMS)"
STR_OFP_DN_ADD_XMS_SOLDIER_2,"Black Op (day"
STR_OFP_DN_ADD_BIZON_SOLDIER,"Spetz Natz (Bizon)"
STR_OFP_DN_OUT_OFFICERE,"Officer (Hand Gun)"
STR_OFP_DN_OUT_SPECNAS,"Spetz Natz (Hand Gun)"
STR_OFP_DN_BMP,"BMP"
STR_OFP_DN_SU25,"SU25"
STR_OFP_DN_JEEP,"Jeep"
STR_OFP_DN_JEEP_MG,"Jeep with Machine Gun"
STR_OFP_DN_OUT_JEEPP,"Jeep (Police)"
STR_OFP_DN_UAZG,"UAZG"
STR_OFP_DN_PLANE,"Plane"

STR_DN_HE_6G30,"6G30"
STR_OFP_DN_HE_6G30,"6G30"
STR_OFP_LIB_6G30,"Grenade launcher 6G30 (RG 6) was developed between 1993 and 1994 by the Central Construction and Research Institute for Sporting and Hunting Firearms in Tula"

STR_OFP_DN_OH58,"OH-58"
STR_OFP_DN_AH64,"AH-64"
STR_OFP_DN_SCUD,"Scud"

STRN_OFP_S01,"01: Steal the Car"
STRN_OFP_S02,"02: Ambush"
STRN_OFP_S03,"03: Bomberman"
STRN_OFP_S04,"04: Ground Attack"
STRN_OFP_S05,"05: Heavy Metal"
STRN_OFP_S06,"06: Clean Sweep"
STRN_OFP_S07,"07: Shadow Killer"
STRN_OFP_S08,"08: Lone Wolf"
STRN_OFP_S09,"09: Sniper Team"
STRN_OFP_S10,"10: Commander"
STRN_OFP_S11,"11: Clean Sweep II"

STRN_OFP_SD01,"R01: WarCry"
STRN_OFP_SD02,"R02: LaserGuide"
STRN_OFP_SD03,"R03: UnderHill"
STRN_OFP_SD04,"R04: Rat's Nest"
STRN_OFP_SD05,"R05: TankPlatoon"

STRN_OFP_M01,"Deathmatch (1-8 D)"
STRN_OFP_M02,"Flag Fight (1-8 D)"
STRN_OFP_M03,"Capture the Flag (2-8 T)"
STRN_OFP_M04,"Hold City (2-8 T)"
STRN_OFP_M05,"Hostage Rescue (2-5 C)"
STRN_OFP_M06,"King of the City (2-8 T)"
STRN_OFP_M07,"King of the Hill (2-8 T)"
STRM_OFP_name,"Oil War (1-7 C)"
STRM_OFP_LS00,"Lost Squad (1-6 C)"
STRD_OFP_NAME2,"Demolition Squad"
STRD_OFP_NAME,"Team Flag Fight"

STR_OFP_DN_AMMO_CRATES,"Ammo Crates"
STR_OFP_DN_AMMO_CRATES_WEST,"Ammo Crates (West)"
STR_OFP_DN_AMMO_CRATES_EAST,"Ammo Crates (East)"
STR_OFP_DN_AMMO_CRATES_WEST2,"Ammo Crates II (West)"
STR_OFP_DN_AMMO_CRATES_EAST2,"Ammo Crates II (East)"
